description,longitude,latitude
"Blush Tea and Coffee St Pete","-82.64704304","27.79374147"
"Foxtail Coffee Co.","-82.63857224","27.78140973"
"Flatbread & Butter","-82.64044232","27.77977279"
"Uptown Eats","-82.64653737","27.77925112"
"Paradeco Coffee Roasters","-82.63355318","27.77376431"
"La Deja Vu Cafe - Bistro - Restaurant","-82.63864244","27.77244988"
"The Sourdough Co","-82.65056515","27.77137545"
"Intermezzo Coffee & Cocktails","-82.650367","27.77139109"
"Driftwood Kava & Roastery St. Pete","-82.6442421","27.7711145"
"Bandit Coffee Co.","-82.66950791","27.77107349"
"Raining Berries St. Pete","-82.65552737","27.77145089"
"Grassroots Kava House","-82.64806984","27.77149664"
"Crislip Café","-82.64245642","27.77166085"
"Central Diner (formerly Central Coffee Shoppe)","-82.64087574","27.77093929"
"Kahwa Coffee","-82.63589938","27.76935761"
"Cafe Gala","-82.6314498","27.7662191"